641,SATYANARAYAN SUNDARAM,1:13:34,0:07:22,4438of 8179,3965of 6534,65 to 69 yrs Male
645,ABHINAV SHARMA,1:16:44,0:07:41,5004of 8179,4405of 6534,35 to 39 yrs Male
650,SHIVANNA CHIKKAGANGAIAH,0:54:17,0:05:26,1137of 8179,1071of 6534,55 to 59 yrs Male
651,ANKUSH SHARMA,0:52:35,0:05:16,949of 8179,896of 6534,35 to 39 yrs Male
652,CHANDRASEKARAN SUBRAMANIAN,0:47:05,0:04:43,404of 8179,382of 6534,55 to 59 yrs Male
656,SAHIL BIHARI,1:11:32,0:07:10,4075of 8179,3661of 6534,35 to 39 yrs Male
658,VISHVESHWARA RAMANNA,0:52:13,0:05:14,906of 8179,855of 6534,45 to 49 yrs Male
659,ANIKETHAN VENUGOPAL,0:59:15,0:05:56,1856of 8179,1731of 6534,30 to 34 yrs Male
663,HANAMANTAPPA UTTAGI,1:22:47,0:08:17,5967of 8179,5146of 6534,30 to 34 yrs Male
670,ADITYA GADGIL,1:10:26,0:07:03,3890of 8179,3504of 6534,45 to 49 yrs Male
672,DARSHAN JAGADISH,1:06:50,0:06:41,3238of 8179,2947of 6534,20 to 24 yrs Male
689,SANJAY KUMAR,1:04:02,0:06:25,2728of 8179,2515of 6534,50 to 54 yrs Male
690,VIJAYKUMAR PATIL,1:04:15,0:06:26,2774of 8179,2556of 6534,35 to 39 yrs Male
691,VINEET RAMCHANDANI,1:00:22,0:06:03,2053of 8179,1917of 6534,35 to 39 yrs Male
692,BALASUBRAMANIAM MUTHUSWAMY,1:23:25,0:08:21,6041of 8179,5200of 6534,50 to 54 yrs Male
703,KUSHAGRA SHARMA,0:55:10,0:05:31,1251of 8179,1176of 6534,40 to 44 yrs Male
707,MANISH KOCHHAR,0:49:30,0:04:57,620of 8179,585of 6534,35 to 39 yrs Male
710,RUSHIKESH BHORANIA,1:00:04,0:06:01,2001of 8179,1868of 6534,40 to 44 yrs Male
715,CHANDRA MOHAN PUTCHA,0:57:03,0:05:43,1489of 8179,1397of 6534,50 to 54 yrs Male
723,GUNA SEKHAR EERTHINENI,1:06:46,0:06:41,3222of 8179,2933of 6534,35 to 39 yrs Male
725,BHUVANESH BABU,0:56:09,0:05:37,1375of 8179,1292of 6534,45 to 49 yrs Male
731,NIRAV KUMAR,1:15:19,0:07:32,4758of 8179,4217of 6534,45 to 49 yrs Male
732,YUVARAJ ETHIRAJAN,1:34:08,0:09:25,7196of 8179,5983of 6534,25 to 29 yrs Male
733,MONNAPPA BAYAVANDA,0:49:27,0:04:57,615of 8179,582of 6534,40 to 44 yrs Male
734,MANOHARA J S,1:10:12,0:07:02,3844of 8179,3466of 6534,30 to 34 yrs Male
741,DEEPAK KUMAR,1:06:17,0:06:38,3141of 8179,2863of 6534,45 to 49 yrs Male
743,MOHAN DOSHI,1:03:50,0:06:23,2691of 8179,2483of 6534,50 to 54 yrs Male
745,SIDDESHA HANUMANTHAPPA,0:53:03,0:05:19,993of 8179,937of 6534,60 to 64 yrs Male
749,SAMARTH MALLIK K,1:04:15,0:06:26,2771of 8179,2554of 6534,30 to 34 yrs Male
750,BASAVARAJ AKKI,1:04:17,0:06:26,2779of 8179,2560of 6534,35 to 39 yrs Male
752,MOHAN MUNIRAMAIAH,1:10:04,0:07:01,3827of 8179,3452of 6534,45 to 49 yrs Male
753,ANAND KAPOOR,1:09:40,0:06:58,3755of 8179,3389of 6534,40 to 44 yrs Male
758,SAIBAL DASGUPTA,1:02:51,0:06:18,2503of 8179,2318of 6534,50 to 54 yrs Male
759,K THIRUMALAI SANKAR,1:28:50,0:08:53,6708of 8179,5675of 6534,40 to 44 yrs Male
766,PRAKASH ARUMUGAM,0:46:24,0:04:39,349of 8179,330of 6534,35 to 39 yrs Male
